job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,Salary_Scaled,month,quarter,month_name
AI00001,AI Research Scientist,90376,2,3,0,China,1,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",1,1970-01-01 00:00:00.000000009,0,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,0.15783084544541923,10,4,October
AI00002,AI Software Engineer,61895,2,0,0,Canada,1,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",2,1970-01-01 00:00:00.000000001,9,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,0.08013617912792982,11,4,November
AI00003,AI Specialist,152626,2,2,1,Switzerland,0,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",0,1970-01-01 00:00:00.000000002,2,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,0.3276455632665532,3,1,March
AI00004,NLP Engineer,80215,2,3,1,India,1,India,50,"Scala, SQL, Linux, Python",3,1970-01-01 00:00:00.000000007,1,2024-12-23,2025-02-24,1345,8.6,Future Systems,0.13011217319191654,12,4,December
AI00005,AI Consultant,54624,0,0,3,France,2,Singapore,100,"MLOps, Java, Tableau, Python",2,1970-01-01 00:00:00.000000000,9,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,0.060301274496966525,4,2,April
AI00006,AI Architect,123574,0,3,0,Germany,1,Germany,50,"Data Visualization, R, SQL, Linux",0,1970-01-01 00:00:00.000000007,7,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,0.24839323905547553,8,3,August
AI00007,Principal Data Scientist,79670,1,2,1,United Kingdom,2,United Kingdom,0,"R, Docker, MLOps",0,1970-01-01 00:00:00.000000003,5,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,0.12862544192745842,12,4,December
AI00008,NLP Engineer,70640,0,0,1,France,0,France,0,"Python, SQL, Computer Vision, Java, Azure",2,1970-01-01 00:00:00.000000000,7,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,0.10399207804111563,6,2,June
AI00009,Data Analyst,160710,2,3,0,Singapore,0,Singapore,0,"Hadoop, Git, Mathematics, Python",3,1970-01-01 00:00:00.000000007,6,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,0.3496982890314696,11,4,November
AI00010,AI Software Engineer,102557,2,3,3,Austria,1,Austria,0,"MLOps, GCP, Scala, Azure, Linux",2,1970-01-01 00:00:00.000000005,6,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,0.1910599711928768,10,4,October
AI00011,Autonomous Systems Engineer,102322,2,3,3,Sweden,1,Sweden,100,"MLOps, Python, SQL",0,1970-01-01 00:00:00.000000008,13,2025-01-29,2025-03-05,1047,9.9,Smart Analytics,0.19041890358343153,1,1,January
AI00012,AI Architect,115047,2,1,0,South Korea,2,South Korea,0,"R, Data Visualization, Python, Azure",2,1970-01-01 00:00:00.000000015,8,2024-07-16,2024-08-19,513,6.8,TechCorp Inc,0.22513203264807297,7,3,July
AI00013,AI Consultant,124355,0,3,0,France,1,France,100,"Tableau, Python, TensorFlow",3,1970-01-01 00:00:00.000000005,0,2024-12-29,2025-01-27,760,5.2,Predictive Systems,0.25052376587665315,12,4,December
AI00014,Autonomous Systems Engineer,68760,2,0,0,Norway,2,Norway,0,"Scala, SQL, Statistics",2,1970-01-01 00:00:00.000000000,3,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions,0.09886353716555367,2,1,February
AI00015,AI Research Scientist,150122,2,3,2,Sweden,1,Sweden,100,"PyTorch, Python, Data Visualization, GCP",0,1970-01-01 00:00:00.000000006,12,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics,0.3208147832918685,10,4,October
AI00016,AI Product Manager,78846,1,0,3,United Kingdom,0,Israel,0,"Linux, Statistics, Deep Learning",3,1970-01-01 00:00:00.000000000,1,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd,0.1263776133734887,9,3,September
AI00017,Principal Data Scientist,59823,2,0,2,India,0,India,100,"Tableau, NLP, Spark",1,1970-01-01 00:00:00.000000001,10,2025-02-06,2025-03-26,1200,5.8,Predictive Systems,0.07448387237571472,2,1,February
AI00018,Machine Learning Engineer,181139,0,1,0,France,0,France,100,"MLOps, PyTorch, Azure",0,1970-01-01 00:00:00.000000015,10,2024-04-24,2024-06-03,2142,8.7,AI Innovations,0.40542752389681813,4,2,April
AI00019,Data Engineer,155300,2,3,0,Singapore,1,Singapore,0,"Git, Hadoop, R, Python, Spark",0,1970-01-01 00:00:00.000000009,4,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions,0.3349400942778578,4,2,April
AI00020,Research Scientist,93851,0,2,3,Netherlands,0,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",3,1970-01-01 00:00:00.000000004,14,2024-05-01,2024-07-02,1809,6.7,AI Innovations,0.16731046222338614,5,2,May
AI00021,Data Engineer,134197,2,2,2,Norway,1,France,0,"Deep Learning, AWS, Azure",1,1970-01-01 00:00:00.000000003,13,2024-06-21,2024-08-28,969,9.6,AI Innovations,0.27737222294967484,6,2,June
AI00022,Autonomous Systems Engineer,102550,2,2,3,United States,1,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",1,1970-01-01 00:00:00.000000002,0,2024-04-23,2024-06-23,625,10.0,Cognitive Computing,0.19104087556195715,4,2,April
AI00023,ML Ops Engineer,99382,0,3,0,Germany,2,Germany,0,"Hadoop, Git, Tableau",3,1970-01-01 00:00:00.000000007,0,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc,0.1823987385971804,3,1,March
AI00024,AI Product Manager,52167,2,2,2,Austria,1,Ireland,100,"Git, Hadoop, Docker",2,1970-01-01 00:00:00.000000004,13,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions,0.053598708044170926,6,2,June
AI00025,ML Ops Engineer,53923,2,2,2,China,2,China,0,"AWS, Azure, Git, SQL, Computer Vision",1,1970-01-01 00:00:00.000000002,7,2024-10-27,2024-11-18,1006,7.4,AI Innovations,0.05838898345772773,10,4,October
